order_id,order_date,customer_id,staff_id,order_status,required_date,customer_id_1,customer_first_name,customer_last_name,customer_phone,customer_email,customer_street,customer_city,customer_state,customer_zip_code,product_id,quantity,list_price,discount,product_name,brand_id,category_id,model_year,category_name,brand_name,staff_first_name,staff_last_name,manager_id
1,2016-01-01,259,2,4,2016-01-03,259,Johnathan,Velazquez,NULL,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,20,1,599.99,0.2,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,Cruisers Bicycles,Electra,Mireya,Copeland,1
1,2016-01-01,259,2,4,2016-01-03,259,Johnathan,Velazquez,NULL,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,8,2,1799.99,0.07,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,Mountain Bikes,Trek,Mireya,Copeland,1
1,2016-01-01,259,2,4,2016-01-03,259,Johnathan,Velazquez,NULL,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,10,2,1549.0,0.05,Surly Straggler - 2016,8,4,2016,Cyclocross Bicycles,Surly,Mireya,Copeland,1
1,2016-01-01,259,2,4,2016-01-03,259,Johnathan,Velazquez,NULL,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,16,2,599.99,0.05,Electra Townie Original 7D EQ - 2016,1,3,2016,Cruisers Bicycles,Electra,Mireya,Copeland,1
1,2016-01-01,259,2,4,2016-01-03,259,Johnathan,Velazquez,NULL,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,4,1,2899.99,0.2,Trek Fuel EX 8 29 - 2016,9,6,2016,Mountain Bikes,Trek,Mireya,Copeland,1
2,2016-01-01,1212,6,4,2016-01-04,1212,Jaqueline,Cummings,NULL,jaqueline.cummings@hotmail.com,478 Wrangler St. ,Huntington Station,NY,11746,20,1,599.99,0.07,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,Cruisers Bicycles,Electra,Marcelene,Boyer,5
2,2016-01-01,1212,6,4,2016-01-04,1212,Jaqueline,Cummings,NULL,jaqueline.cummings@hotmail.com,478 Wrangler St. ,Huntington Station,NY,11746,16,2,599.99,0.05,Electra Townie Original 7D EQ - 2016,1,3,2016,Cruisers Bicycles,Electra,Marcelene,Boyer,5
3,2016-01-02,523,7,4,2016-01-05,523,Joshua,Robertson,NULL,joshua.robertson@gmail.com,81 Campfire Court ,Patchogue,NY,11772,3,1,999.99,0.05,Surly Wednesday Frameset - 2016,8,6,2016,Mountain Bikes,Surly,Venita,Daniel,5
3,2016-01-02,523,7,4,2016-01-05,523,Joshua,Robertson,NULL,joshua.robertson@gmail.com,81 Campfire Court ,Patchogue,NY,11772,20,1,599.99,0.05,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,Cruisers Bicycles,Electra,Venita,Daniel,5
4,2016-01-03,175,3,4,2016-01-04,175,Nova,Hess,NULL,nova.hess@msn.com,773 South Lafayette St. ,Duarte,CA,91010,2,2,749.99,0.1,Ritchey Timberwolf Frameset - 2016,5,6,2016,Mountain Bikes,Ritchey,Genna,Serrano,2
5,2016-01-03,1324,6,4,2016-01-06,1324,Arla,Ellis,NULL,arla.ellis@yahoo.com,127 Crescent Ave. ,Utica,NY,13501,10,2,1549.0,0.05,Surly Straggler - 2016,8,4,2016,Cyclocross Bicycles,Surly,Marcelene,Boyer,5
5,2016-01-03,1324,6,4,2016-01-06,1324,Arla,Ellis,NULL,arla.ellis@yahoo.com,127 Crescent Ave. ,Utica,NY,13501,17,1,429.0,0.07,Pure Cycles Vine 8-Speed - 2016,4,3,2016,Cruisers Bicycles,Pure Cycles,Marcelene,Boyer,5
5,2016-01-03,1324,6,4,2016-01-06,1324,Arla,Ellis,NULL,arla.ellis@yahoo.com,127 Crescent Ave. ,Utica,NY,13501,26,1,599.99,0.07,Electra Townie Original 7D EQ - 2016,1,2,2016,Comfort Bicycles,Electra,Marcelene,Boyer,5
6,2016-01-04,94,6,4,2016-01-07,94,Sharyn,Hopkins,NULL,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027,18,1,449.0,0.07,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,3,2016,Cruisers Bicycles,Pure Cycles,Marcelene,Boyer,5
6,2016-01-04,94,6,4,2016-01-07,94,Sharyn,Hopkins,NULL,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027,12,2,549.99,0.05,Electra Townie Original 21D - 2016,1,3,2016,Cruisers Bicycles,Electra,Marcelene,Boyer,5
6,2016-01-04,94,6,4,2016-01-07,94,Sharyn,Hopkins,NULL,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027,20,1,599.99,0.1,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,Cruisers Bicycles,Electra,Marcelene,Boyer,5
6,2016-01-04,94,6,4,2016-01-07,94,Sharyn,Hopkins,NULL,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027,3,2,999.99,0.07,Surly Wednesday Frameset - 2016,8,6,2016,Mountain Bikes,Surly,Marcelene,Boyer,5
6,2016-01-04,94,6,4,2016-01-07,94,Sharyn,Hopkins,NULL,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027,9,2,2999.99,0.07,Trek Conduit+ - 2016,9,5,2016,Electric Bikes,Trek,Marcelene,Boyer,5
7,2016-01-04,324,6,4,2016-01-07,324,Laureen,Paul,NULL,laureen.paul@yahoo.com,617 Squaw Creek Rd. ,Bellmore,NY,11710,15,1,529.99,0.07,Electra Moto 1 - 2016,1,3,2016,Cruisers Bicycles,Electra,Marcelene,Boyer,5
7,2016-01-04,324,6,4,2016-01-07,324,Laureen,Paul,NULL,laureen.paul@yahoo.com,617 Squaw Creek Rd. ,Bellmore,NY,11710,3,1,999.99,0.1,Surly Wednesday Frameset - 2016,8,6,2016,Mountain Bikes,Surly,Marcelene,Boyer,5
7,2016-01-04,324,6,4,2016-01-07,324,Laureen,Paul,NULL,laureen.paul@yahoo.com,617 Squaw Creek Rd. ,Bellmore,NY,11710,17,2,429.0,0.1,Pure Cycles Vine 8-Speed - 2016,4,3,2016,Cruisers Bicycles,Pure Cycles,Marcelene,Boyer,5
8,2016-01-04,1204,7,4,2016-01-05,1204,Leslie,Higgins,NULL,leslie.higgins@hotmail.com,805 Logan Ave. ,Saratoga Springs,NY,12866,22,1,269.99,0.05,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,1,2016,Children Bicycles,Electra,Venita,Daniel,5
8,2016-01-04,1204,7,4,2016-01-05,1204,Leslie,Higgins,NULL,leslie.higgins@hotmail.com,805 Logan Ave. ,Saratoga Springs,NY,12866,20,2,599.99,0.07,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,Cruisers Bicycles,Electra,Venita,Daniel,5
9,2016-01-05,60,2,4,2016-01-08,60,Neil,Mccall,NULL,neil.mccall@gmail.com,7476 Oakland Dr. ,San Carlos,CA,94070,7,2,3999.99,0.1,Trek Slash 8 27.5 - 2016,9,6,2016,Mountain Bikes,Trek,Mireya,Copeland,1
